2023-2024 Season Weekly Team Prediction
---------------------Week 2--------------------------
FWD
name,total_points,Predicted Total Points
name,total_points,Predicted Total Points
Mohamed Salah,16,6.548954272851332
Miguel Almirón Rejala,1,5.9445479592052735
Abdoulaye Doucouré,2,4.664738144258055
James Maddison,9,4.612644560922156
Tomáš Souček,2,4.455870332870246
DEF
name,total_points,Predicted Total Points
Kieran Trippier,10,4.520534900599916
Benjamin White,0,4.358783576314946
Tyrick Mitchell,-1,3.842510534325188
Virgil van Dijk,7,3.618301498405562
Matty Cash,2,3.5603053436454033
GK
name,total_points,Predicted Total Points
Norberto Murara Neto,2,4.336786614795733
Ederson Santana de Moraes,0,4.3307568664128295
---------------------Week 10--------------------------
FWD
name,total_points,Predicted Total Points
Erling Haaland,16,5.824540188006909
Ollie Watkins,2,5.576067524831668
Darwin Núñez Ribeiro,10,4.6263738996830615
MID
name,total_points,Predicted Total Points
Mohamed Salah,8,8.487134060175272
Martin Ødegaard,0,5.443161786097293
Douglas Luiz Soares de Paulo,7,5.062980142118757
Diogo Teixeira da Silva,6,4.898236237755131
Cole Palmer,2,4.740591093639143
DEF
name,total_points,Predicted Total Points
Kieran Trippier,0,6.551987073427086
Rayan Aït-Nouri,0,4.614884918671366
Cristian Romero,4,4.582097649631649
Virgil van Dijk,8,4.493771501646503
Fabian Schär,5,4.485285974478592
GK
name,total_points,Predicted Total Points
Stefan Ortega Moreno,0,4.509045917564259
Emiliano Martínez Romero,0,4.435748058116439
---------------------Week 11--------------------------
FWD
name,total_points,Predicted Total Points
Ollie Watkins,2,4.899430434238348
Chris Wood,0,4.839673048003456
Eddie Nketiah,2,4.777516833235646
MID
name,total_points,Predicted Total Points
Bryan Mbeumo,5,6.722540549216722
Phil Foden,6,6.5075725807807085
James Maddison,1,5.083928198490547
Diogo Teixeira da Silva,3,4.83046318325642
Dominik Szoboszlai,3,4.610064415410466
DEF
name,total_points,Predicted Total Points
Oleksandr Zinchenko,1,4.441103118644915
John Stones,6,4.338757544236523
Konstantinos Tsimikas,1,3.9383731258933046
Matty Cash,0,3.897730327664542
Kyle Walker,2,3.825554587100274
GK
name,total_points,Predicted Total Points
Emiliano Martínez Romero,1,4.503842434732599
